Model Observations

EPOCHS , INITIAL LEARNING RATE , LOSS , VAL_LOSS , ACC , VAL_ACC
[100, 0.01, 1.6058599381219774, 1.6181039070260936, 0.2619047619047619, 0.2413793103448276]
[90, 0.01, 1.6185493100257147, 1.657712796638752, 0.15476190884198462, 0.17241379541569743]
[110, 0.01, 1.2203443859304701, 1.5783272365043903, 0.5833333485892841, 0.3103448322107052]
[110, 0.01, 1.1374201881034034, 1.5518246971327683, 0.6428571577583041, 0.3103448322107052]
[75, 0.01, 0.04114984679922816, 2.288341892176661, 1.0, 0.31034483169687205]
[110, 0.01, 1.4543182126113348, 1.5902267036766842, 0.4047619157603809, 0.24137931753849162]
[110, 0.01, 1.4712420191083635, 1.5661475987269962, 0.38095239230564665, 0.3793103561319154]



Model Observations (CNN) {some observations are achieved by adding hidden layers in the network}

EPOCH,INITIAL LEARNING RATE,BATCH SIZE,LOSS,VAL_LOSS,ACCURACY,VAL_ACC
[90, 0.01, 10, 0.9237261317871712, 2.4176084748629867, 0.6621621661895031, 0.3448275862068966]
[100, 0.01, 20, 0.5471077114343643, 2.2401172621496794, 0.8124999962747097, 0.4482758620689655]
[100, 0.001, 22, 0.2893594710096236, 2.149843824320826, 0.9354838825041248, 0.413793107558941]
[100, 0.01, 18, 1.1506300406022505, 2.2006098895237365, 0.5454545562917535, 0.3793103494520845]
[80, 0.01, 10, 1.53599206176964, 1.293577058561917, 0.4324324368625074, 0.4137931085866073]
[200, 0.001, 19, 0.664452744447268, 2.784252298289332, 0.7076923232812148, 0.3103448286138732]
[90, 0.001, 19, 1.6028454065322877, 1.5446673138388272, 0.21538461446762086, 0.31034483169687205]
[90, 0.01, 19, 1.2373465097867526, 1.6189346313476562, 0.6000000082529509, 0.27586206896551724] //optimizer='adam'
[60, 0.01, 5, 1.3418578301803976, 1.8450645824958538, 0.5189873517691335, 0.24137931342782645]
[90, 0.01, 15, 1.2527316419974617, 1.471851579074202, 0.492753636577855, 0.31034483195378865]
[90, 0.01, 15, 1.2527316419974617, 1.471851579074202, 0.492753636577855, 0.31034483195378865]
[120, 0.01, 20, 0.8331898376345634, 1.8118177323505795, 0.7031250037252903, 0.2413793103448276]
[75, 0.01, 32, 0.6997974102313702, 1.7696469981094887, 0.7307692215992854, 0.34482759442822686]
[80, 0.001, 32, 1.2793708947988658, 2.1708173751831055, 0.5769230815080496, 0.37931033968925476]
[75, 0.001, 32, 1.699298015007606, 2.2408941285363557, 0.5192307646457965, 0.413793107558941]
